,Tweets
0,"https://t.co/WGOJxQzCAq ""The growing, deadly threat is home grown, and overwhelmingly far-right and white"". Going through the ADL incident list ... the vast majority of these 'white supremacists' seem to be black New Yorkers or Arab Muslims ..."
3,"With other issues dominating the Arab world since 2011, many have assumed that the costs of the Israeli occupation for US policy are now negligible, but even beyond the systematic denial of Palestinian rights there are actually huge opportunity costs for our own politics."
4,"Michael Figueroa, asst professor of music @UNC &amp; ethnomusicologist of music and politics in the modern Middle East and its diasporas, has recently embarked on a second major project examining popular music and race consciousness in post-9/11 Arab America: https://t.co/TRSg0BuzJU https://t.co/M2jND0YbhL"
6,"@Claire_Voltaire They are trying desperately  to portray Black ethno-Nationalist, Arab ethno-nationalist, Islamist and other third world illiberal identity politics can't be racist. That's the Far-Left disingenuous discourse for you. Covering identity politics under that name of civil rights"
8,style fashonistaEnvironmental Activist Greta Thunberg Is Time's 2019 Person of the Year https://t.co/oAk5Y3PqAm style fashonista https://t.co/X4VimqLrPg
13,"I'm old enough to remember when the Left was not antisemitic &amp; was very pro-Israel. What happened? I think many Leftists in politics, gov't, media, &amp; education, etc., were bought with Arab oil money."
14,"The #UAE has jumped 23 places in the United Nations Development Programme (UNDP) 2019 #Gender Inequality Index, ranking first in the Arab world and 26th globally https://t.co/hfxE1Xf9KX https://t.co/9AyGsjOUBg"
17,"Oh, so to be fair is he going to recognize #Anglicans as a British nationality, Confucian Buddhists as Chinese, Islam as Arab, Dutch Reformed as Dutch, Lutherans as German etc., hmm? Or is he just totally in #Israel's pockets? https://t.co/aKrd9bavb6 #CapeTown #SouthAfrica"
18,@DouglasKMurray Douglas Murray conveniently discovers anti-racism and identity politics the day before a general election. One day he'll even discover that Islamophobia and anti-Arab racism exist.
22,@paulmasonnews In Scotland and Wales does that mean that all politics of a devolved nature is also suspended for the day?
29,"@AHSANZA59426351 @Rafaqatalichatt @hinaparvezbutt So u must think, that he supported NS to get in to country and take part in politics but not supported to do CHORI.
u r saying that NS b supported for Money laundering, SORRY SIR.
waisay apki umer mein Hassan Hussain arab pati thay...
Kuch tum bhi mehanat karo, twitter farigh hai"
41,"Across the Arab world people are turning against religious political parties and the clerics who helped bring them to power 

https://t.co/1qicyap0tm

#finance #economics #startup #politics https://t.co/bcgCjPznCD"
123,"Really pleased to have received such a positive review by @PaulAarts2 of @PaolaRivettiDUB and my edited volume on Islamists and the Politics of the Arab Uprisings in the latest issue of Democratization. Check out the review article here: https://t.co/THcgwyFbwf
@EdinburghUP"
130,"🚨This is our prime minister🚨

WHY HAS THIS NOT GONE VIRAL?

#Boris describes Kosovan Muslims as having “hook noses”, bi-racial people as “half-caste”, Jews as controlling the media. Characters are described as “pikey”, “chinamen”, an “Arab-type thing”.

https://t.co/Y28iPNEWin"
146,Why unemployment is the 'greatest challenge' to Arab world - https://t.co/PnPYumbU62
162,"Veteran Jeff Blankfort ... Why reading the New York Times is NOT the same as listening to NPR (National Propaganda Radio).

This article reveals how the United Arab Emirates which is closer to Israel... https://t.co/Ahv4Wqxg1N"
169,"@USCIRF @realDonaldTrump says US will prioritize Christian refugees
Muslim nations says will prioritize Muslim refugees
In both cases No farcry by the American or Arab Secular media
 Such anti-national behaviour is exhibited only by the Indian media over 
https://t.co/1C3Xay1Iz6"
229,"Earlier @nytimes reported Trump is signing an EO to make the boycott of Israel illegal

This blatant attack on 1st amdmt rights is characteristic of the anti-Palestinian, anti-Arab, and anti-Muslim sentiment from 45

https://t.co/DdiZGsejZs"
273,"My research finds that after 2010 and the Arab Spring, the kinds of attacks aid workers faced changed in nature — in ways that led humanitarian groups to see security in the Middle East differently, in these three ways, @EmilyKMScott writes. 
@MSharif1990 https://t.co/F0jBkKKslN"
282,Better than arab politics IT COULD BE WORSE https://t.co/A5ZLDhDdRs
284,"I AM PLEASED WITH THIS DECISION. Arab N other Nationals can B trained n their home country. How can we trust them with a billion dollar aircraft.🤔🏹

After NAS Pensacola shooting, Navy suspends flight training for nearly 300 Saudi students, official says

https://t.co/S4DuncBmME"
303,"@stowZJE Just curious: How much time did you actually spend in Israel? How much in the so-called West Bank? You have to know local demography, topography and politics on both sides of the Jewish/Arab divide at least as well as a typical Israeli does before you can say anything worthwhile."
321,Sudan's Bashir questioned over 1989 coup that brought him to power https://t.co/Z4QjH2Tabh
324,Review of Revisiting the Arab Uprisings: The Politics of a Revolutionary Moment :: Middle East Quarterly. See my review of this book. https://t.co/HKx2MWW3xt
335,Western Intervention in the internal politics of the Ottoman Empire and Arab World: https://t.co/zsMT9ty85T
410,"Trump says US will prioritize Christian refugees

Muslim nations says will prioritize Muslim refugees

In both cases No Randi Rona by the American or Arab Secular media
 
Such anti-national behaviour is exhibited only by the Indian media over #CABBill 🙄

https://t.co/iS3ZT7K7WO"
411,"OPINION: The 2019 model of British politics has been damaged by #Brexit — an issue that most parties have not covered themselves in glory with their handling of, including the two main contenders, the #Conservatives and #Labour, writes @YMekelberg https://t.co/dW1nQ8Fglr https://t.co/K3phw3XB5l"
415,@ghadifrancis Yes arab mentality of calling a woman a whore whenever they don't agree with is unacceptable! Eventhough i disagree with u politically i can keep it to that and ague in politics..point..simple
423,"I am with the idea of bringing and inviting different minds to develop an analysis about the current GCC issue, but what I don’t understand is the absence of Arab academics from the GCC in such analysis. Is culture disconnected from politics?"
425,"President Nixon harbored deeply antisemitic beliefs AND he also helped save Israel during the Yom Kippur War by  sending much needed arms shipments so Israel had what it needed to defend itself from the invading Arab militaries as supplies ran low.

https://t.co/V9UPkaWQA4"
428,"@RJAadhi Most of the politics in the region revolves around Saudi Arabia - Iran. They are basically USA-Russia of the Arab world. Incidentally, they both along with Iraq, are the biggest exporters of oil to India."
443,@Swoletarian Yes. Islamists are commonly referred to as Ikhwan in Arab politics. They're rightwing anti-communists religious fundamentalists who support instating Caliphate and Sharia law.
455,Saudi king calls for Gulf Arab unity to confront Iran  National Post https://t.co/VlGLgQva0z #Iran #US #Military https://t.co/jOVP3r4CwM
464,"@MadawiDr has long been my touchstone on everything Saudi-related. Her courage, her iconoclasm, and her politics are a model. This fabulous interview (conducted by another courageous Arab scholar Maha Abdelrahman) gives a flavour of @MadawiDr's trajectory: https://t.co/tfzVXUR4iK"
466,"@ThomasSKidd So says the author of the book “Who Is An Evangelical?”.

And Kidd’s correct: Trump would never accept an Evangelical of Arab or Iranian descent who lives in the Middle East because to him, all Arabs &amp; Iranians there are terrorists &amp; won’t vote for him.

https://t.co/taG24X7ihz"
469,Saudi king calls for Gulf Arab unity to confront #Iran - National Post: Saudi king calls for Gulf Arab unity to confront #Iran  National Post https://t.co/H6pxCOMSR3
471,"Please do take the time to listen to this week’s #SEPADPod with Thomas Fibiger on #Bahrain. It touches on memory, politics, religion, protest and that Arab Uprisings. An important listen."
477,"Qatar’s Emir won’t attend an annual gathering of Gulf Arab rulers in the Saudi capital on Tuesday, opting to send the prime minister instead https://t.co/F2B1ThyZxR"
